# Solutions to Equation 26 of Laundal et al. (2022, https://doi.org/10.1029/2022JA030356)
# which gives maximum plasma production q' as a function of solar zenith angle chi.
# Solutions from Lompe (Laundal et al., https://doi.org/10.5281/zenodo.5973739), assuming:
# n(z)        =  1e13 m^-3
# z0          =   500 km
# H           =    50 km
# tau(z, chi) = 1e-20 m^-2
chi,q_dash
105.4,0.000220
105.5,0.000206
105.6,0.000192
105.7,0.000179
105.8,0.000167
105.9,0.000156
106.0,0.000146
106.1,0.000136
106.2,0.000126
106.3,0.000117
106.4,0.000109
106.5,0.000102
106.6,0.000094
106.7,0.000088
106.8,0.000081
106.9,0.000076
107.0,0.000070
107.1,0.000065
107.2,0.000060
107.3,0.000056
107.4,0.000052
107.5,0.000048
107.6,0.000044
107.7,0.000041
107.8,0.000038
107.9,0.000035
108.0,0.000032
108.1,0.000030
108.2,0.000027
108.3,0.000025
108.4,0.000023
108.5,0.000021
108.6,0.000020
108.7,0.000018
108.8,0.000017
108.9,0.000015
109.0,0.000014
109.1,0.000013
109.2,0.000012
109.3,0.000011
109.4,0.000010
109.5,0.000009
109.6,0.000008
109.7,0.000008
109.8,0.000007
109.9,0.000006
110.0,0.000006
110.1,0.000005
110.2,0.000005
110.3,0.000004
110.4,0.000004
110.5,0.000004
110.6,0.000003
110.7,0.000003
110.8,0.000003
110.9,0.000002
111.0,0.000002
111.1,0.000002
111.2,0.000002
111.3,0.000002
111.4,0.000002
111.5,0.000001
111.6,0.000001
111.7,0.000001
111.8,0.000001
111.9,0.000001
112.0,0.000001
112.1,0.000001
112.2,0.000001
112.3,0.000001
112.4,0.000001
112.5,0.000000
112.6,0.000000
112.7,0.000000
112.8,0.000000
112.9,0.000000
113.0,0.000000
113.1,0.000000
113.2,0.000000
113.3,0.000000
113.4,0.000000
113.5,0.000000
113.6,0.000000
113.7,0.000000
113.8,0.000000
113.9,0.000000
114.0,0.000000
114.1,0.000000
114.2,0.000000
114.3,0.000000
114.4,0.000000
114.5,0.000000
114.6,0.000000
114.7,0.000000
114.8,0.000000
114.9,0.000000
115.0,0.000000
115.1,0.000000
115.2,0.000000
115.3,0.000000
115.4,0.000000
115.5,0.000000
115.6,0.000000
115.7,0.000000
115.8,0.000000
115.9,0.000000
116.0,0.000000
116.1,0.000000
116.2,0.000000
116.3,0.000000
116.4,0.000000
116.5,0.000000
116.6,0.000000
116.7,0.000000
116.8,0.000000
116.9,0.000000
117.0,0.000000
117.1,0.000000
117.2,0.000000
117.3,0.000000
117.4,0.000000
117.5,0.000000
117.6,0.000000
117.7,0.000000
117.8,0.000000
117.9,0.000000
118.0,0.000000
118.1,0.000000
118.2,0.000000
118.3,0.000000
118.4,0.000000
118.5,0.000000
118.6,0.000000
118.7,0.000000
118.8,0.000000
118.9,0.000000
119.0,0.000000
119.1,0.000000
119.2,0.000000
119.3,0.000000
119.4,0.000000
119.5,0.000000
119.6,0.000000
119.7,0.000000
119.8,0.000000
119.9,0.000000
120.0,0.000000
